Journal name,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
NEURO-ONCOLOGY,1522-8517,1523-5866,CLINICAL NEUROLOGY,SCIE,"24,799",13.4,Q1,3.45,26.27
Implementation Science,1748-5908,1748-5908,HEALTH CARE SCIENCES & SERVICES,SCIE,"19,965",13.4,Q1,3.11,100.0
JACC: CardioOncology,2666-0873,2666-0873,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"2,793",13.4,Q1,2.63,100.0
LEUKEMIA,0887-6924,1476-5551,HEMATOLOGY,SCIE,"30,656",13.4,Q1,2.17,57.79
Annual Review of Nutrition,0199-9885,1545-4312,NUTRITION & DIETETICS,SCIE,"6,350",13.4,Q1,1.6,60.38
Theranostics,1838-7640,1838-7640,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"46,434",13.3,Q1,2.87,100.0
CARDIOVASCULAR RESEARCH,0008-6363,1755-3245,CARDIAC & CARDIOVASCULAR SYSTEMS,SCIE,"28,216",13.3,Q1,2.57,38.91
Radiology-Artificial Intelligence,2638-6100,2638-6100,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",ESCI,"3,232",13.2,Q1,2.42,11.76
Annual Review of Neuroscience,0147-006X,1545-4126,NEUROSCIENCES,SCIE,"13,295",13.2,Q1,1.91,60.0
NUCLEIC ACIDS RESEARCH,0305-1048,1362-4962,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"290,054",13.1,Q1,3.11,98.94
Annual Review of Pharmacology and Toxicology,0362-1642,1545-4304,PHARMACOLOGY & PHARMACY,SCIE,"8,596",13.1,Q1,2.13,63.74
Lancet Regional Health-Europe,2666-7762,2666-7762,HEALTH CARE SCIENCES & SERVICES,SCIE,"5,685",13.0,Q1,4.75,99.57
Journal of Advanced Research,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES,SCIE,"14,158",13.0,Q1,2.96,100.0
Lancet HIV,2352-3018,2352-3018,IMMUNOLOGY,SCIE,"6,195",13.0,Q1,2.87,22.92
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"19,626",12.9,Q1,1.87,100.0
ENDOSCOPY,0013-726X,1438-8812,GASTROENTEROLOGY & HEPATOLOGY,SCIE,"13,742",12.8,Q1,3.26,19.49
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,,1756-9966,ONCOLOGY,SCIE,"28,514",12.8,Q1,2.44,100.0
Protein & Cell,1674-800X,1674-8018,CELL BIOLOGY,SCIE,"8,624",12.8,Q1,1.53,100.0
Microbiome,2049-2618,2049-2618,MICROBIOLOGY,SCIE,"28,282",12.7,Q1,3.37,100.0
KIDNEY INTERNATIONAL,0085-2538,1523-1755,UROLOGY & NEPHROLOGY,SCIE,"48,335",12.6,Q1,4.27,29.94
Analytic Methods in Accident Research,2213-6657,2213-6665,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"3,012",12.6,Q1,3.64,19.54
JOURNAL OF NANOBIOTECHNOLOGY,,1477-3155,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"28,115",12.6,Q1,1.8,100.0
Science Advances,,2375-2548,MULTIDISCIPLINARY SCIENCES,SCIE,"181,324",12.5,Q1,2.82,99.95
PHARMACOLOGY & THERAPEUTICS,0163-7258,1879-016X,PHARMACOLOGY & PHARMACY,SCIE,"25,603",12.5,Q1,1.8,22.27
Cell Discovery,,2056-5968,CELL BIOLOGY,SCIE,"6,532",12.5,Q1,1.75,100.0
BIOTECHNOLOGY ADVANCES,0734-9750,1873-1899,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,SCIE,"27,341",12.5,Q1,1.51,21.23
AGEING RESEARCH REVIEWS,1568-1637,1872-9649,CELL BIOLOGY,SCIE,"22,837",12.4,Q1,1.68,26.11
FEMS MICROBIOLOGY REVIEWS,0168-6445,1574-6976,MICROBIOLOGY,SCIE,"16,902",12.3,Q1,1.3,53.75
